X,Y,Z
-3785.92,1264.75,-378548.0625
-3692.52,1227.28,-378548.0625
-3847.94,1257.91,-378548.0625
-3870.27,1251.9,-378548.0625
-3823.98,1227.58,-378548.0625
-3840.45,1220.01,-378548.0625
-3846.26,1209.6,-378548.0625
-3902.42,1212.04,-378548.0625
-3733.7,1157.34,-378548.0625
-3714.11,1140.91,-378548.0625
-3495.96,1064.92,-378548.0625
-3532.95,1052.2,-378548.0625
-3524.67,1039.42,-378548.0625
-3499.77,1022.87,-378548.0625
-3519.65,1016.7,-378548.0625
-3512.21,1004.27,-378548.0625
-3602.36,1013.56,-378548.0625
-3623.23,1007.15,-378548.0625
-3564.91,983.53,-378548.0625
-3494.75,957.77,-378548.0625
-3480.26,944.12,-378548.0625
-3475.51,932.58,-378548.0625
-3390.38,904.72,-378548.0625
-3351.19,886.6,-378548.0625
-3354.11,877.05,-378548.0625
-3442.4,884.11,-378548.0625
-3472.82,879.56,-378548.0625
-3501.27,874.47,-378548.0625
-3524.8,868.3,-378548.0625
-3655.56,881.58,-378548.0625
-3726.38,883.32,-378548.0625
-3723.39,871.62,-378548.0625
-3711.49,858.4,-378548.0625
-3668,839.88,-378548.0625
-3646.13,825.25,-378548.0625
-3640.98,813.52,-378548.0625
-3642.71,802.93,-378548.0625
-3626.63,789.52,-378548.0625
-3658.91,783.75,-378548.0625
-3185.06,700.54,-378548.0625
-3208.22,694.53,-378548.0625
-3185.85,681.73,-378548.0625
-3266.38,683.85,-378548.0625
-3544.01,713.24,-378548.0625
-3576.16,707.16,-378548.0625
-3180.17,643.2,-378548.0625
-3109.03,624.41,-378548.0625
-3148.88,620.36,-378548.0625
-3226.45,620.83,-378548.0625
-3246.47,613.77,-378548.0625
-3302.23,610.89,-378548.0625
-3409.79,603.71,-378548.0625
-3330.4,584.85,-378548.0625
-3277.78,569.36,-378548.0625
-3155.48,546.84,-378548.0625
-3194.23,541.54,-378548.0625
-3205.12,533.25,-378548.0625
-3158.25,519.32,-378548.0625
-3083.46,503.07,-378548.0625
-3105.2,496,-378548.0625
-3125.92,488.72,-378548.0625
-3140.66,480.82,-378548.0625
-3183.28,475.12,-378548.0625
-3205.95,467.6,-378548.0625
-3228.61,459.95,-378548.0625
-3254.24,452.38,-378548.0625
